"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"e:\dowload 2\MyGameMPFE\mygamefe\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"e:\dowload 2\MyGameMPFE\mygamefe\package-lock.json", "JSON", 0, 0, 16228, 0, 0, 0, 0, 0, 0, 1, 16229
"e:\dowload 2\MyGameMPFE\mygamefe\package.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 77
"e:\dowload 2\MyGameMPFE\mygamefe\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"e:\dowload 2\MyGameMPFE\mygamefe\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\dowload 2\MyGameMPFE\mygamefe\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 1, 39
"e:\dowload 2\MyGameMPFE\mygamefe\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\dowload 2\MyGameMPFE\mygamefe\src\App.tsx", "TypeScript JSX", 0, 0, 0, 331, 0, 0, 0, 0, 45, 5, 381
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\AddVariantsModal\AddVariantsModal.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 6, 62
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\AdminError\AdminError.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientCarousel\ClientCarousel.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 1, 9, 119
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientError\ClientError.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientFooter\ClientFooter.tsx", "TypeScript JSX", 0, 0, 0, 180, 0, 0, 0, 0, 0, 8, 188
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientHeader\CategoryMenu.tsx", "TypeScript JSX", 0, 0, 0, 124, 0, 0, 0, 0, 1, 10, 135
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientHeader\ClientHeader.tsx", "TypeScript JSX", 0, 0, 0, 381, 0, 0, 0, 0, 27, 33, 441
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientProductCard\ClientProductCard.tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 12, 216
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientUserNavbar\ClientUserNavbar.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 1, 5, 41
"e:\dowload 2\MyGameMPFE\mygamefe\src\components\CreateUpdateTitle\CreateUpdateTitle.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
