Date : 2025-06-10 00:16:41
Directory : e:\dowload 2\MyGameMPFE\mygamefe
Total : 515 files,  54170 codes, 943 comments, 4296 blanks, all 59409 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        215 |     25,037 |        369 |      2,504 |     27,910 |
| JSON               |          3 |     16,330 |          0 |          2 |     16,332 |
| TypeScript         |        291 |     12,676 |        500 |      1,756 |     14,932 |
| PostCSS            |          2 |         53 |         51 |         12 |        116 |
| JSON with Comments |          1 |         27 |          0 |          0 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        515 |     54,170 |        943 |      4,296 |     59,409 |
| . (Files)                                                                                                |          4 |     16,358 |          0 |         22 |     16,380 |
| public                                                                                                   |          2 |         45 |         23 |          2 |         70 |
| src                                                                                                      |        509 |     37,767 |        920 |      4,272 |     42,959 |
| src (Files)                                                                                              |          9 |        422 |        104 |         28 |        554 |
| src\components                                                                                           |         61 |      4,577 |        192 |        523 |      5,292 |
| src\components (Files)                                                                                   |          1 |         92 |         10 |         20 |        122 |
| src\components\AddVariantsModal                                                                          |          1 |         56 |          0 |          6 |         62 |
| src\components\AdminError                                                                                |          1 |         19 |          0 |          3 |         22 |
| src\components\ClientCarousel                                                                            |          1 |        109 |          1 |          9 |        119 |
| src\components\ClientError                                                                               |          1 |         29 |          0 |          3 |         32 |
| src\components\ClientFooter                                                                              |          1 |        180 |          0 |          8 |        188 |
| src\components\ClientHeader                                                                              |          2 |        505 |         28 |         43 |        576 |
| src\components\ClientProductCard                                                                         |          1 |        204 |          0 |         12 |        216 |
| src\components\ClientUserNavbar                                                                          |          1 |         35 |          1 |          5 |         41 |
| src\components\CreateUpdateTitle                                                                         |          1 |         27 |          0 |          4 |         31 |
| src\components\DefaultHeader                                                                             |          1 |        140 |          8 |         18 |        166 |
| src\components\DefaultNavbar                                                                             |          2 |        284 |         98 |         22 |        404 |
| src\components\DefaultPropertyPanel                                                                      |          1 |         41 |         13 |          4 |         58 |
| src\components\ElectroLogo                                                                               |          1 |          9 |          2 |          5 |         16 |
| src\components\EntityDetailTable                                                                         |          1 |         35 |          0 |          7 |         42 |
| src\components\EntityFinder                                                                              |          1 |        148 |          0 |         12 |        160 |
| src\components\FilterCriteriaRow                                                                         |          2 |        190 |          0 |         24 |        214 |
| src\components\FilterPanel                                                                               |          2 |         50 |          0 |         11 |         61 |
| src\components\FilterPanelHeader                                                                         |          1 |         15 |          0 |          5 |         20 |
| src\components\FilterPanelHeaderLeft                                                                     |          1 |         23 |          0 |          5 |         28 |
| src\components\FilterPanelHeaderRight                                                                    |          2 |         87 |          0 |         15 |        102 |
| src\components\FilterPanelMain                                                                           |          1 |         15 |          0 |          4 |         19 |
| src\components\FilterPanelMainLeft                                                                       |          2 |         58 |          0 |         12 |         70 |
| src\components\FilterPanelMainRight                                                                      |          2 |         62 |          0 |         13 |         75 |
| src\components\FloatingCodeFrame                                                                         |          1 |         24 |          0 |          5 |         29 |
| src\components\LoadingMiddleware                                                                         |          1 |         46 |          5 |         11 |         62 |
| src\components\ManageHeader                                                                              |          1 |         15 |          0 |          5 |         20 |
| src\components\ManageHeaderButtons                                                                       |          2 |         90 |          0 |         13 |        103 |
| src\components\ManageHeaderTitle                                                                         |          1 |         35 |          0 |          6 |         41 |
| src\components\ManageMain                                                                                |          1 |         46 |          0 |          7 |         53 |
| src\components\ManagePagination                                                                          |          2 |         89 |          0 |         13 |        102 |
| src\components\ManageTable                                                                               |          3 |        211 |          0 |         24 |        235 |
| src\components\ProductImagesDropzone                                                                     |          1 |        321 |          1 |         20 |        342 |
| src\components\ProductProperties                                                                         |          1 |         51 |          0 |          9 |         60 |
| src\components\ProductPropertyRow                                                                        |          1 |        117 |          0 |         14 |        131 |
| src\components\ProductSpecificationRow                                                                   |          1 |        106 |          0 |         13 |        119 |
| src\components\ProductSpecifications                                                                     |          1 |         51 |          0 |          9 |         60 |
| src\components\ProductVariantRow                                                                         |          1 |        102 |          0 |          9 |        111 |
| src\components\ProductVariants                                                                           |          1 |         80 |          0 |         10 |         90 |
| src\components\ProductVariantsForUpdate                                                                  |          1 |        118 |          0 |         14 |        132 |
| src\components\ProtectedRoute                                                                            |          1 |         34 |          0 |          5 |         39 |
| src\components\ReviewStarGroup                                                                           |          1 |         19 |          0 |          4 |         23 |
| src\components\ScrollToTop                                                                               |          1 |         14 |          1 |          5 |         20 |
| src\components\SearchPanel                                                                               |          2 |        109 |         24 |         17 |        150 |
| src\components\SortCriteriaRow                                                                           |          2 |        108 |          0 |         15 |        123 |
| src\components\VariantFinder                                                                             |          1 |        125 |          0 |         11 |        136 |
| src\components\VariantTable                                                                              |          1 |        166 |          0 |          6 |        172 |
| src\components\VariantTablePopover                                                                       |          1 |         87 |          0 |          8 |         95 |
| src\constants                                                                                            |          4 |        188 |          3 |         40 |        231 |
| src\hooks                                                                                                |         14 |        268 |          0 |         57 |        325 |
| src\models                                                                                               |         56 |      1,132 |          3 |        207 |      1,342 |
| src\pages                                                                                                |        341 |     29,835 |        150 |      3,188 |     33,173 |
| src\pages (Files)                                                                                        |          4 |        449 |          1 |         47 |        497 |
| src\pages\address                                                                                        |          7 |        470 |          0 |         53 |        523 |
| src\pages\admin-account                                                                                  |          2 |         81 |          0 |         16 |         97 |
| src\pages\admin-notification                                                                             |          2 |         17 |          0 |          6 |         23 |
| src\pages\admin-signin                                                                                   |          2 |         99 |          0 |         20 |        119 |
| src\pages\brand                                                                                          |          7 |        411 |          0 |         56 |        467 |
| src\pages\category                                                                                       |          7 |        526 |          0 |         57 |        583 |
| src\pages\chat                                                                                           |          2 |        167 |          0 |         20 |        187 |
| src\pages\client-all-categories                                                                          |          2 |        127 |          1 |         14 |        142 |
